City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,sangmelima,92,CM,1525758422,99,2.93,11.98,66.08,2.82
359,sirnak,92,TR,1525758354,100,37.52,42.46,49.7,2.37
360,ribeira grande,64,PT,1525758422,100,38.52,-28.7,62.3,3.38
361,nampula,40,MZ,1525755600,100,-15.12,39.26,68.0,6.17
362,shillong,75,IN,1525755600,88,25.58,91.88,82.4,5.82
363,kupang,0,ID,1525758422,73,-10.16,123.6,86.78,17.81
364,mattru,0,SL,1525758423,98,7.62,-11.83,74.0,2.59
365,marystown,0,CA,1525758423,94,47.17,-55.16,33.41,12.33
366,mao,20,DO,1525755600,94,19.55,-71.08,75.2,6.93
367,nordfjordeid,20,NO,1525756800,81,61.91,5.99,53.6,6.93
368,bathsheba,40,BB,1525755600,78,13.22,-59.52,78.8,19.46
369,humaita,40,AR,1525755600,93,-24.93,-65.37,66.2,3.36
370,furstenwalde,0,DE,1525756800,76,52.37,14.07,59.0,6.93
371,aykino,24,RU,1525758424,100,62.22,49.99,42.05,4.05
372,san cristobal,90,EC,1525755600,93,-0.39,-78.55,51.8,1.12
373,makakilo city,1,US,1525755420,69,21.35,-158.09,73.4,8.05
374,witu,92,KE,1525758424,90,-2.39,40.44,78.68,9.64
375,rudnichnyy,88,RU,1525758424,87,59.7,60.29,44.21,3.49
376,srednekolymsk,92,RU,1525758424,71,67.46,153.71,26.03,6.17
377,celestun,64,MX,1525758425,100,20.87,-90.4,77.78,13.22
378,yar-sale,64,RU,1525758425,100,66.83,70.83,12.35,4.72
379,lompoc,1,US,1525757700,76,34.64,-120.46,55.4,7.74
380,macaubas,0,BR,1525758425,92,-13.02,-42.7,59.6,4.16
381,asyut,0,EG,1525758425,44,27.18,31.19,74.0,4.38
382,kungurtug,0,RU,1525758425,37,50.6,97.53,37.01,4.5
383,nanakuli,40,US,1525755420,77,21.39,-158.15,73.4,11.41
384,salalah,40,OM,1525755000,79,17.01,54.1,84.2,5.82
385,cerro largo,48,BR,1525758425,91,-28.15,-54.74,64.37,6.17
386,usinsk,92,RU,1525758426,99,66.0,57.56,35.57,4.72
387,damoh,0,IN,1525758426,22,23.84,79.44,100.1,14.23
388,pangnirtung,44,CA,1525758426,59,66.15,-65.72,4.88,4.61
389,ilulissat,20,GL,1525755000,65,69.22,-51.1,8.6,6.93
390,jalu,0,LY,1525758426,30,29.03,21.55,71.93,7.07
391,cheremukhovo,48,RU,1525758426,75,56.23,46.23,59.15,4.94
392,norman wells,75,CA,1525755600,100,65.28,-126.83,42.8,6.93
393,hamirpur,0,IN,1525757400,33,25.95,80.15,87.8,6.93
394,coquimbo,0,CL,1525755600,93,-29.95,-71.34,51.8,6.93
395,tahe,0,CN,1525758427,41,52.34,124.71,64.01,4.38
396,milkovo,0,BG,1525757400,87,41.53,24.68,66.2,2.59
397,mandalgovi,36,MN,1525758427,32,45.76,106.27,75.89,15.35
398,cristobal obregon,75,MX,1525754640,44,16.35,-93.53,75.2,12.75
399,kalmunai,0,LK,1525758427,63,7.42,81.82,92.63,2.71
400,governador dix-sept rosado,36,BR,1525758427,76,-5.46,-37.52,75.62,5.61
401,hualmay,32,PE,1525758427,97,-11.1,-77.61,61.58,3.71
402,abnub,0,EG,1525758428,44,27.27,31.15,74.0,4.38
403,sitka,88,US,1525758428,18,37.17,-99.65,81.11,18.48
404,wahiawa,40,US,1525755420,77,21.5,-158.02,73.4,11.41
405,new waterford,1,US,1525756500,71,40.85,-80.61,57.2,3.38
406,faya,0,SA,1525755600,35,18.39,42.45,73.4,8.05
407,vostok,68,RU,1525758428,69,46.45,135.83,50.6,2.82
408,sorland,20,NO,1525756800,93,67.67,12.69,42.8,8.05
409,alice springs,0,AU,1525755600,10,-23.7,133.88,80.6,13.87
410,dunedin,24,NZ,1525758163,60,-45.87,170.5,57.44,19.04
411,balad,24,ID,1525758429,100,-6.76,108.42,85.61,9.19
412,erzin,75,TR,1525755000,63,36.95,36.2,66.2,4.7
413,quatre cocos,75,MU,1525755600,74,-20.21,57.76,80.6,4.7
414,cuamba,8,MZ,1525758429,76,-14.8,36.54,67.25,4.61
415,wagar,8,US,1525758430,74,31.44,-87.99,67.61,2.37
